work_date,month,month_number,season,shift_hours,forecasted_trailers,units_per_trailer,forecasted_units,starting_backlog_units,available_units,actual_headcount,required_headcount,labor_hours,stow_rate_uph,tph,units_per_face,quality_defects_per_1000,count_errors_per_1000,processed_units,ending_backlog_units,backlog_hours,labor_cost,cost_per_unit,staffing_gap,recommended_action
2026-02-17,Feb,2,Non-Peak,10.0,14,12162,170268,0,170268,79,78,790.0,257.5,17026.8,12.7,2.58,1.82,170268,0,0.0,17380.0,0.1021,-1,Maintain plan
2026-02-18,Feb,2,Non-Peak,10.0,15,11849,177735,0,177735,72,81,720.0,265.5,16248.6,13.6,2.06,1.83,162486,15249,0.8,15840.0,0.0975,9,Labor share
2026-02-19,Feb,2,Non-Peak,10.0,9,11739,105651,15249,120900,85,55,850.0,256.6,12090.0,12.4,2.36,1.62,120900,0,0.0,19030.0,0.1574,-30,Offer VTO
2026-02-20,Feb,2,Non-Peak,10.0,12,13761,165132,0,165132,88,75,880.0,271.2,16513.2,13.6,2.9,1.07,165132,0,0.0,20020.0,0.1212,-13,Offer VTO
2026-02-21,Feb,2,Non-Peak,10.0,15,12513,187695,0,187695,59,85,590.0,250.0,12537.5,13.8,3.27,2.36,125375,62320,4.23,12980.0,0.1035,26,Add OT
2026-02-22,Feb,2,Non-Peak,10.0,13,11677,151801,62320,214121,77,97,770.0,246.9,16159.6,12.6,3.69,1.53,161596,52525,2.76,16940.0,0.1048,20,Add OT
2026-02-23,Feb,2,Non-Peak,10.0,14,12162,170268,52525,222793,85,101,850.0,270.5,19543.6,15.4,2.12,2.1,195436,27357,1.19,19030.0,0.0974,16,Add OT
2026-02-24,Feb,2,Non-Peak,10.0,13,12198,158574,27357,185931,75,85,750.0,268.1,17091.4,15.0,1.71,2.25,170914,15017,0.75,16500.0,0.0965,10,Labor share
2026-02-25,Feb,2,Non-Peak,10.0,11,10503,115533,15017,130550,78,60,780.0,246.5,13055.0,12.4,3.18,1.39,130550,0,0.0,17160.0,0.1314,-18,Offer VTO
2026-02-26,Feb,2,Non-Peak,10.0,12,10026,120312,0,120312,79,55,790.0,254.9,12031.2,12.4,2.46,0.93,120312,0,0.0,17380.0,0.1445,-24,Offer VTO
2026-02-27,Feb,2,Non-Peak,10.0,12,12149,145788,0,145788,86,66,860.0,246.7,14578.8,10.0,2.28,2.1,145788,0,0.0,19360.0,0.1328,-20,Offer VTO
2026-02-28,Feb,2,Non-Peak,10.0,11,12173,133903,0,133903,67,61,670.0,276.6,13390.3,14.2,2.61,1.38,133903,0,0.0,14740.0,0.1101,-6,Maintain plan
2026-03-01,Mar,3,Non-Peak,10.0,16,11379,182064,0,182064,68,83,680.0,253.4,14646.5,11.1,3.33,0.99,146465,35599,2.07,14960.0,0.1021,15,Add OT
2026-03-02,Mar,3,Non-Peak,10.0,10,13347,133470,35599,169069,76,77,760.0,247.3,15975.6,12.7,3.02,0.5,159756,9313,0.5,16720.0,0.1047,1,Maintain plan
2026-03-03,Mar,3,Non-Peak,10.0,16,11358,181728,9313,191041,77,87,770.0,258.7,16931.9,13.3,2.15,2.93,169319,21722,1.09,16940.0,0.1,10,Labor share
2026-03-04,Mar,3,Non-Peak,10.0,12,13168,158016,21722,179738,82,82,820.0,249.4,17383.2,12.4,1.93,1.73,173832,5906,0.29,18040.0,0.1038,0,Maintain plan
2026-03-05,Mar,3,Non-Peak,10.0,10,12274,122740,5906,128646,82,59,820.0,259.0,12864.6,14.3,2.89,1.08,128646,0,0.0,18040.0,0.1402,-23,Offer VTO
2026-03-06,Mar,3,Non-Peak,10.0,10,12347,123470,0,123470,77,56,770.0,252.5,12347.0,11.6,3.12,1.78,123470,0,0.0,16940.0,0.1372,-21,Offer VTO
2026-03-07,Mar,3,Non-Peak,10.0,10,12180,121800,0,121800,74,56,740.0,251.6,12180.0,11.6,2.79,2.2,121800,0,0.0,16280.0,0.1337,-18,Offer VTO
2026-03-08,Mar,3,Non-Peak,10.0,10,13811,138110,0,138110,71,63,710.0,265.4,13811.0,13.3,3.06,0.82,138110,0,0.0,15620.0,0.1131,-8,Maintain plan
2026-03-09,Mar,3,Non-Peak,10.0,16,13168,210688,0,210688,78,96,780.0,250.6,16614.8,11.2,2.27,2.06,166148,44540,2.28,17160.0,0.1033,18,Add OT
2026-03-10,Mar,3,Non-Peak,10.0,9,12200,109800,44540,154340,81,70,810.0,264.4,15434.0,13.7,3.3,1.76,154340,0,0.0,17820.0,0.1155,-11,Offer VTO
2026-03-11,Mar,3,Non-Peak,10.0,10,13087,130870,0,130870,72,60,720.0,276.1,13087.0,12.4,2.51,1.73,130870,0,0.0,15840.0,0.121,-12,Offer VTO
2026-03-12,Mar,3,Non-Peak,10.0,14,12025,168350,0,168350,82,77,820.0,287.9,16835.0,14.7,1.72,1.13,168350,0,0.0,18040.0,0.1072,-5,Maintain plan
2026-03-13,Mar,3,Non-Peak,10.0,14,13717,192038,0,192038,78,87,780.0,273.0,18099.9,13.3,2.5,2.6,180999,11039,0.52,17160.0,0.0948,9,Labor share
2026-03-14,Mar,3,Non-Peak,10.0,15,10702,160530,11039,171569,68,78,680.0,263.9,15253.4,12.1,2.34,1.38,152534,19035,1.06,14960.0,0.0981,10,Labor share
2026-03-15,Mar,3,Non-Peak,10.0,12,13002,156024,19035,175059,78,80,780.0,267.6,17505.9,14.4,1.35,1.42,175059,0,0.0,17160.0,0.098,2,Use flex-trained team
2026-03-16,Mar,3,Non-Peak,10.0,11,12547,138017,0,138017,70,63,700.0,253.9,13801.7,13.2,2.37,2.06,138017,0,0.0,15400.0,0.1116,-7,Maintain plan
2026-03-17,Mar,3,Non-Peak,10.0,13,11309,147017,0,147017,86,67,860.0,258.8,14701.7,12.5,2.12,1.53,147017,0,0.0,19360.0,0.1317,-19,Offer VTO
2026-03-18,Mar,3,Non-Peak,10.0,14,11041,154574,0,154574,74,70,740.0,241.8,15209.2,11.1,2.28,1.73,152092,2482,0.14,16280.0,0.107,-4,UPF coaching
2026-03-19,Mar,3,Non-Peak,10.0,16,11563,185008,2482,187490,82,85,820.0,260.5,18156.8,14.0,2.64,1.51,181568,5922,0.28,18040.0,0.0994,3,Use flex-trained team
2026-03-20,Mar,3,Non-Peak,10.0,12,13401,160812,5922,166734,87,76,870.0,244.6,16673.4,12.1,2.58,1.75,166734,0,0.0,19690.0,0.1181,-11,Offer VTO
2026-03-21,Mar,3,Non-Peak,10.0,11,14092,155012,0,155012,70,71,700.0,255.8,15220.1,14.0,2.52,1.32,152201,2811,0.16,15400.0,0.1012,1,Maintain plan
2026-03-22,Mar,3,Non-Peak,10.0,13,11532,149916,2811,152727,75,70,750.0,273.7,15272.7,14.9,2.61,1.97,152727,0,0.0,16500.0,0.108,-5,Maintain plan
2026-03-23,Mar,3,Non-Peak,10.0,13,12669,164697,0,164697,83,75,830.0,239.1,16469.7,11.1,3.03,1.5,164697,0,0.0,18370.0,0.1115,-8,UPF coaching
2026-03-24,Mar,3,Non-Peak,10.0,13,12822,166686,0,166686,75,76,750.0,269.5,16668.6,12.1,3.0,1.57,166686,0,0.0,16500.0,0.099,1,Maintain plan
2026-03-25,Mar,3,Non-Peak,10.0,13,12483,162279,0,162279,80,74,800.0,259.3,16227.9,13.1,1.84,1.9,162279,0,0.0,17600.0,0.1085,-6,Maintain plan
2026-03-26,Mar,3,Non-Peak,10.0,18,10950,197100,0,197100,70,90,700.0,266.9,15880.6,14.1,2.67,1.95,158806,38294,2.05,15400.0,0.097,20,Add OT
2026-03-27,Mar,3,Non-Peak,10.0,14,10769,150766,38294,189060,79,86,790.0,278.0,18667.7,13.7,2.02,1.93,186677,2383,0.11,17380.0,0.0931,7,Labor share
2026-03-28,Mar,3,Non-Peak,10.0,15,11229,168435,2383,170818,65,78,650.0,270.4,14939.6,13.5,2.37,1.71,149396,21422,1.22,14300.0,0.0957,13,Add OT
2026-03-29,Mar,3,Non-Peak,10.0,12,12852,154224,21422,175646,69,80,690.0,251.8,14768.1,10.8,3.45,1.2,147681,27965,1.61,15180.0,0.1028,11,Labor share
2026-03-30,Mar,3,Non-Peak,10.0,15,12637,189555,27965,217520,86,99,860.0,249.3,18223.8,12.7,1.39,1.61,182238,35282,1.65,19360.0,0.1062,13,Add OT
2026-03-31,Mar,3,Non-Peak,10.0,6,13314,79884,35282,115166,82,53,820.0,258.6,11516.6,11.5,3.62,0.94,115166,0,0.0,18040.0,0.1566,-29,Offer VTO
2026-04-01,Apr,4,Non-Peak,10.0,10,11509,115090,0,115090,76,53,760.0,259.4,11509.0,12.6,3.44,1.28,115090,0,0.0,16720.0,0.1453,-23,Offer VTO
2026-04-02,Apr,4,Non-Peak,10.0,12,12732,152784,0,152784,81,70,810.0,272.9,15278.4,12.8,2.43,2.13,152784,0,0.0,17820.0,0.1166,-11,Offer VTO
2026-04-03,Apr,4,Non-Peak,10.0,14,11124,155736,0,155736,83,71,830.0,262.3,15573.6,12.4,3.33,1.69,155736,0,0.0,18370.0,0.118,-12,Offer VTO
2026-04-04,Apr,4,Non-Peak,10.0,9,13102,117918,0,117918,73,54,730.0,252.1,11791.8,12.5,1.98,2.11,117918,0,0.0,16060.0,0.1362,-19,Offer VTO
2026-04-05,Apr,4,Non-Peak,10.0,13,12237,159081,0,159081,62,72,620.0,273.5,14413.4,13.2,3.06,1.99,144134,14947,0.88,13640.0,0.0946,10,Labor share
2026-04-06,Apr,4,Non-Peak,10.0,13,13287,172731,14947,187678,80,85,800.0,254.7,17319.6,14.2,2.18,1.05,173196,14482,0.71,17600.0,0.1016,5,Labor share
2026-04-07,Apr,4,Non-Peak,10.0,12,11841,142092,14482,156574,85,71,850.0,268.6,15657.4,14.2,1.6,1.43,156574,0,0.0,19030.0,0.1215,-14,Offer VTO
2026-04-08,Apr,4,Non-Peak,10.0,13,12183,158379,0,158379,90,72,900.0,263.0,15837.9,14.0,2.26,1.52,158379,0,0.0,20680.0,0.1306,-18,Offer VTO
2026-04-09,Apr,4,Non-Peak,10.0,13,11477,149201,0,149201,85,68,850.0,255.5,14920.1,12.4,2.23,1.36,149201,0,0.0,19030.0,0.1275,-17,Offer VTO
2026-04-10,Apr,4,Non-Peak,10.0,14,13661,191254,0,191254,79,87,790.0,260.0,17459.0,12.1,2.62,1.04,174590,16664,0.81,17380.0,0.0995,8,Labor share
2026-04-11,Apr,4,Non-Peak,10.0,12,12742,152904,16664,169568,77,77,770.0,255.5,16722.5,12.2,1.53,1.63,167225,2343,0.12,16940.0,0.1013,0,UPF coaching
2026-04-12,Apr,4,Non-Peak,10.0,12,13366,160392,2343,162735,76,74,760.0,246.3,15911.0,12.7,3.0,2.63,159110,3625,0.19,16720.0,0.1051,-2,Quality audit
2026-04-13,Apr,4,Non-Peak,10.0,11,13608,149688,3625,153313,84,70,840.0,253.3,15331.3,13.0,1.87,2.38,153313,0,0.0,18700.0,0.122,-14,Offer VTO
2026-04-14,Apr,4,Non-Peak,10.0,12,12038,144456,0,144456,85,66,850.0,240.8,14445.6,10.9,3.69,1.91,144456,0,0.0,19030.0,0.1317,-19,Offer VTO
2026-04-15,Apr,4,Non-Peak,10.0,12,12831,153972,0,153972,76,70,760.0,259.3,15397.2,14.1,2.45,1.87,153972,0,0.0,16720.0,0.1086,-6,Maintain plan
2026-04-16,Apr,4,Non-Peak,10.0,17,13104,222768,0,222768,71,101,710.0,284.9,17193.7,15.6,1.88,1.41,171937,50831,2.51,15620.0,0.0908,30,Add OT
2026-04-17,Apr,4,Non-Peak,10.0,16,11029,176464,50831,227295,83,103,830.0,271.0,19119.0,14.0,2.05,1.79,191190,36105,1.61,18370.0,0.0961,20,Add OT
2026-04-18,Apr,4,Non-Peak,10.0,13,12220,158860,36105,194965,73,89,730.0,247.0,15326.4,11.7,2.27,1.87,153264,41701,2.31,16060.0,0.1048,16,Add OT
2026-04-19,Apr,4,Non-Peak,10.0,14,12324,172536,41701,214237,76,97,760.0,268.1,17319.3,13.4,3.86,2.7,173193,41044,2.01,16720.0,0.0965,21,Add OT
2026-04-20,Apr,4,Non-Peak,10.0,7,13201,92407,41044,133451,74,61,740.0,255.0,13345.1,12.6,2.98,1.21,133451,0,0.0,16280.0,0.122,-13,Offer VTO
2026-04-21,Apr,4,Non-Peak,10.0,12,11652,139824,0,139824,77,64,770.0,266.7,13982.4,13.9,1.77,1.13,139824,0,0.0,16940.0,0.1212,-13,Offer VTO
2026-04-22,Apr,4,Non-Peak,10.0,9,12499,112491,0,112491,80,51,800.0,262.8,11249.1,14.4,2.85,1.74,112491,0,0.0,17600.0,0.1565,-29,Offer VTO
2026-04-23,Apr,4,Non-Peak,10.0,16,11432,182912,0,182912,75,83,750.0,250.4,15963.0,12.1,3.56,1.63,159630,23282,1.24,16500.0,0.1034,8,Labor share
2026-04-24,Apr,4,Non-Peak,10.0,19,11038,209722,23282,233004,87,106,870.0,252.8,18694.6,13.2,2.29,2.0,186946,46058,2.09,19690.0,0.1053,19,Add OT
2026-04-25,Apr,4,Non-Peak,10.0,8,10431,83448,46058,129506,82,59,820.0,265.4,12950.6,11.4,1.66,0.59,129506,0,0.0,18040.0,0.1393,-23,Offer VTO
2026-04-26,Apr,4,Non-Peak,10.0,12,13077,156924,0,156924,74,72,740.0,252.7,15692.4,12.1,2.72,2.06,156924,0,0.0,16280.0,0.1037,-2,UPF coaching
2026-04-27,Apr,4,Non-Peak,10.0,14,12249,171486,0,171486,81,78,810.0,260.4,17148.6,13.4,3.02,1.41,171486,0,0.0,17820.0,0.1039,-3,Maintain plan
2026-04-28,Apr,4,Non-Peak,10.0,11,12644,139084,0,139084,70,63,700.0,268.8,13908.4,11.4,2.04,2.08,139084,0,0.0,15400.0,0.1107,-7,Maintain plan
2026-04-29,Apr,4,Non-Peak,10.0,15,12821,192315,0,192315,76,88,760.0,264.9,17112.5,12.9,2.31,2.15,171125,21190,1.05,16720.0,0.0977,12,Add OT
2026-04-30,Apr,4,Non-Peak,10.0,11,11882,130702,21190,151892,94,69,940.0,260.6,15189.2,11.7,1.99,1.78,151892,0,0.0,22000.0,0.1448,-25,Offer VTO
2026-05-01,May,5,Non-Peak,10.0,18,12291,221238,0,221238,84,101,840.0,269.5,19242.3,14.0,2.71,2.04,192423,28815,1.27,18700.0,0.0972,17,Add OT
2026-05-02,May,5,Non-Peak,10.0,13,11692,151996,28815,180811,75,82,750.0,263.6,16804.5,15.6,3.56,1.77,168045,12766,0.65,16500.0,0.0982,7,Labor share
2026-05-03,May,5,Non-Peak,10.0,15,10972,164580,12766,177346,79,81,790.0,267.8,17734.6,14.2,2.23,2.28,177346,0,0.0,17380.0,0.098,2,Use flex-trained team
2026-05-04,May,5,Non-Peak,10.0,14,12840,179760,0,179760,88,82,880.0,265.9,17976.0,14.2,3.19,1.72,179760,0,0.0,20020.0,0.1114,-6,Maintain plan
2026-05-05,May,5,Non-Peak,10.0,14,12013,168182,0,168182,74,77,740.0,267.9,16818.2,14.4,2.28,1.92,168182,0,0.0,16280.0,0.0968,3,Use flex-trained team
2026-05-06,May,5,Non-Peak,10.0,12,12300,147600,0,147600,80,67,800.0,255.7,14760.0,14.1,2.52,2.49,147600,0,0.0,17600.0,0.1192,-13,Offer VTO
2026-05-07,May,5,Non-Peak,10.0,14,12899,180586,0,180586,80,82,800.0,266.5,18058.6,12.3,2.72,2.45,180586,0,0.0,17600.0,0.0975,2,Quality audit
2026-05-08,May,5,Non-Peak,10.0,14,11872,166208,0,166208,80,76,800.0,277.9,16620.8,13.1,2.75,0.87,166208,0,0.0,17600.0,0.1059,-4,Maintain plan
2026-05-09,May,5,Non-Peak,10.0,15,12415,186225,0,186225,72,85,720.0,268.2,16413.8,14.1,3.05,1.98,164138,22087,1.14,15840.0,0.0965,13,Add OT
2026-05-10,May,5,Non-Peak,10.0,14,12597,176358,22087,198445,64,90,640.0,254.7,13855.7,14.6,2.41,1.25,138557,59888,3.67,14080.0,0.1016,26,Add OT
2026-05-11,May,5,Non-Peak,10.0,13,12020,156260,59888,216148,91,98,910.0,250.0,19337.5,12.9,3.17,1.13,193375,22773,1.0,21010.0,0.1086,7,Labor share
2026-05-12,May,5,Non-Peak,10.0,14,10833,151662,22773,174435,76,79,760.0,267.9,17306.3,15.0,2.2,1.03,173063,1372,0.07,16720.0,0.0966,3,Use flex-trained team
2026-05-13,May,5,Non-Peak,10.0,14,10850,151900,1372,153272,81,70,810.0,260.4,15327.2,12.8,2.54,1.56,153272,0,0.0,17820.0,0.1163,-11,Offer VTO
2026-05-14,May,5,Non-Peak,10.0,13,12719,165347,0,165347,82,75,820.0,253.1,16534.7,14.1,2.4,1.87,165347,0,0.0,18040.0,0.1091,-7,Maintain plan
2026-05-15,May,5,Non-Peak,10.0,17,12136,206312,0,206312,84,94,840.0,266.9,19056.7,11.9,3.09,0.54,190567,15745,0.7,18700.0,0.0981,10,Labor share
2026-05-16,May,5,Non-Peak,10.0,11,10948,120428,15745,136173,72,62,720.0,284.6,13617.3,13.2,2.0,1.17,136173,0,0.0,15840.0,0.1163,-10,Offer VTO
2026-05-17,May,5,Non-Peak,10.0,16,13210,211360,0,211360,81,96,810.0,254.7,17536.1,12.1,2.55,1.8,175361,35999,1.74,17820.0,0.1016,15,Add OT
2026-05-18,May,5,Non-Peak,10.0,16,12659,202544,35999,238543,87,108,870.0,258.3,19101.3,14.3,2.99,1.48,191013,47530,2.12,19690.0,0.1031,21,Add OT
2026-05-19,May,5,Non-Peak,10.0,14,11247,157458,47530,204988,86,93,860.0,255.6,18684.4,12.3,2.54,1.53,186844,18144,0.83,19360.0,0.1036,7,Labor share
2026-05-20,May,5,Non-Peak,10.0,16,12321,197136,18144,215280,80,98,800.0,248.9,16925.2,11.4,3.22,1.71,169252,46028,2.31,17600.0,0.104,18,Add OT
2026-05-21,May,5,Non-Peak,10.0,15,11529,172935,46028,218963,76,100,760.0,260.5,16828.3,11.8,2.21,0.9,168283,50680,2.56,16720.0,0.0994,24,Add OT
2026-05-22,May,5,Non-Peak,10.0,14,10969,153566,50680,204246,79,93,790.0,269.6,18103.6,12.7,2.05,1.49,181036,23210,1.09,17380.0,0.096,14,Add OT
2026-05-23,May,5,Non-Peak,10.0,21,10067,211407,23210,234617,73,107,730.0,266.4,16530.1,13.7,3.5,1.62,165301,69316,3.56,16060.0,0.0972,34,Add OT
2026-05-24,May,5,Non-Peak,10.0,12,12843,154116,69316,223432,75,102,750.0,264.9,16887.4,13.1,3.34,0.93,168874,54558,2.75,16500.0,0.0977,27,Add OT
2026-05-25,May,5,Non-Peak,10.0,18,12713,228834,54558,283392,85,129,850.0,266.5,19254.6,12.7,2.67,1.41,192546,90846,4.01,19030.0,0.0988,44,Add OT
